symbol,price,price_date,name,type
578013,608,2026-07-23,אפקון החזקות,מניה רגילה
584011,16.73,2026-07-23,ליבנטל,מניה רגילה
585018,179.5,2026-07-23,הראל השקעות,מניה רגילה
587014,27.44,2026-07-23,ארית תעשיות,מניה רגילה
589010,19.35,2026-07-23,אמיליה פיתוח,מניה רגילה
593038,231.6,2026-07-23,בינלאומי,מניה רגילה
604611,71.03,2026-07-23,לאומי,מנית סטוק
612010,38.67,2026-07-23,הכשרת הישוב,מניה רגילה
613034,851.1,2026-07-23,ישרס,מניה רגילה
621011,83.2,2026-07-23,קרור,מניה רגילה
625012,26.89,2026-07-23,עלבד,מניה רגילה
627034,172.2,2026-07-23,דלתא גליל,מניה רגילה
629014,95.33,2026-07-23,טבע,מניה רגילה
634030,15.33,2026-07-23,שמן נדלן,מניה רגילה
639013,7.843,2026-07-23,דיסקונט השקעות,מניה רגילה
642017,80.82,2026-07-23,לפידות קפיטל,מניה רגילה
643015,25.02,2026-07-23,נפטא,מניה רגילה
644013,43.79,2026-07-23,פלרם,מניה רגילה
654012,11.89,2026-07-23,אמנת,מניה רגילה
660019,8.22,2026-07-23,ניסן,מניה רגילה
662577,72.3,2026-07-23,פועלים,מניה רגילה
666016,0.498,2026-07-23,לוזון אשראי,מניה רגילה
673012,0.583,2026-07-23,ריי טי אל וי,מניה רגילה
675017,11.93,2026-07-23,אברבוך,מניה רגילה
686014,296.1,2026-07-23,מהדרין,מניה רגילה
691212,31.85,2026-07-23,דיסקונט א,מניה רגילה
694034,144.9,2026-07-23,אלקו,מניה רגילה
695437,226.4,2026-07-23,מזרחי טפחות,מניה רגילה
699017,292.2,2026-07-23,נכסים ובנין,מניה רגילה
704015,67.83,2026-07-23,יצוא,מניה רגילה
715011,16.34,2026-07-23,אזורים,מניה רגילה
716019,231.2,2026-07-23,מטעי הדר 1,מניה רגילה
716035,1060,2026-07-23,מטעי הדר 5,מניה רגילה
720011,282.4,2026-07-23,אנלייט אנרגיה,מניה רגילה
723007,8.891,2026-07-23,נורסטאר,מניה רגילה
726018,21.64,2026-07-23,ירושלים,מניה רגילה
727016,4.586,2026-07-23,פלסטו קרגל,מניה רגילה
730010,11.94,2026-07-23,צור,מניה רגילה
731018,140.5,2026-07-23,מלם-תים אחזקות,מניה רגילה
739037,116.9,2026-07-23,אלקטרה,מניה רגילה
744011,21.43,2026-07-23,גיקס,מניה רגילה
745018,52.51,2026-07-23,פוליגון,מניה רגילה
746016,115.4,2026-07-23,שטראוס,מניה רגילה
749077,3.58,2026-07-23,אלרון,מניה רגילה
753012,21.04,2026-07-23,לודזיה,מניה רגילה
755017,117.9,2026-07-23,אקויטל,מניה רגילה
756015,4.998,2026-07-23,פטרוכימיים,מניה רגילה
759019,37.8,2026-07-23,גב ים,מניה רגילה
763011,297.3,2026-07-23,פיבי,מניה רגילה
765016,0.01,2026-07-23,פרפל ביוטק,מניה רגילה
767012,177.8,2026-07-23,הפניקס,מניה רגילה
769026,88.04,2026-07-23,רפק,מניה רגילה
770016,2.1,2026-07-23,אקסל,מניה רגילה
777037,46.6,2026-07-23,שופרסל,מניה רגילה
796011,48.05,2026-07-23,תיא השקעות,מניה רגילה
797035,188.1,2026-07-23,קליל,מניה רגילה
810010,172.5,2026-07-23,כהן פיתוח,מניה רגילה
813014,356.2,2026-07-23,סנו,מניה רגילה
822015,27.19,2026-07-23,דן מלונות,מניה רגילה
823013,23.28,2026-07-23,חג'ג',מניה רגילה
826016,11.01,2026-07-23,לכיש,מניה רגילה
829010,17.15,2026-07-23,דלק רכב,מניה רגילה
1080456,34.93,2026-07-23,רימוני,מניה רגילה
1080522,12.71,2026-07-23,אוסטרליה ישראל,מניה רגילה
1080597,2.355,2026-07-23,גילת טלקום,מניה רגילה
1080613,145.4,2026-07-23,אנליסט,מניה רגילה
1080753,48.46,2026-07-23,אילקס מדיקל,מניה רגילה
1080837,9.562,2026-07-23,שניב,מניה רגילה
1080928,3.076,2026-07-23,אינטר תעשיות,מניה רגילה
1080985,124.5,2026-07-23,ישרוטל,מניה רגילה
1081009,10.62,2026-07-23,רקח,מניה רגילה
1081074,87.92,2026-07-23,איסתא,מניה רגילה
1081116,4.253,2026-07-23,"אלביט נדל""ן",מניה רגילה
1081124,2459.9,2026-07-23,אלביט מערכות,מניה רגילה
1081165,17.8,2026-07-23,מגדל ביטוח,מניה רגילה
1081439,9.434,2026-07-23,לודן,מניה רגילה
1081561,841.5,2026-07-23,בית שמש,מניה רגילה
1081603,159.4,2026-07-23,פלסאון תעשיות,מניה רגילה
1081686,51.15,2026-07-23,סאמיט,מניה רגילה
1081843,137.2,2026-07-23,מיטב השקעות,מניה רגילה
1081942,17.88,2026-07-23,שיכון ובינוי,מניה רגילה
1081983,1.345,2026-07-23,גלובל פיי-ש,מניה רגילה
1082007,7.881,2026-07-23,שוהם ביזנס,מניה רגילה
1082114,2.521,2026-07-23,אפולו פאוור,מניה רגילה
1082346,2.185,2026-07-23,ביו דבש,מניה רגילה
1082353,1.433,2026-07-23,סאני תקשורת,מניה רגילה
1082379,757.9,2026-07-23,טאואר,מניה רגילה
1082510,35.7,2026-07-23,גילת,מניה רגילה
